,closeprice,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77
20060731,13.5,13.4,13.52,14.25,15.31,12.92,11.36,-0.01,-0.65,-0.66,-0.17,0.95,51.48,47.97,48.18,50.23,51.64,45.24,30.61,27.55,60.54,45.59,33.65,28.53,19.69,14.27,12.63,11.21,0.46,0.52,0.62,0.72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,1,129.63,12.98,-29.92,-70.3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32.69,8.22,1.14,5.51,635930,28674.53,-0.74,1.5,1.5,6.72,-2.88,1,1
20060801,13.4,13.42,13.5,14.2,15.28,12.94,11.37,-0.02,-0.63,-0.65,-0.18,0.93,49.11,47.13,47.95,50.1,51.54,44.59,31.65,27.71,51.32,43.31,33.75,28.02,20.99,13.96,12.44,11.16,0.42,0.51,0.61,0.71,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,27.36,-15.64,-34.26,-74.17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32.69,8.22,1.14,5.51,635287,28669.77,-0.74,0.37,0.75,1.52,-3.6,2,1
20060802,13.5,13.42,13.49,14.14,15.26,12.95,11.39,-0.01,-0.61,-0.61,-0.18,0.92,51.59,48.09,48.2,50.23,51.24,44.64,32.62,27.93,50.66,44.73,34.57,28.38,21.41,13.56,12.24,11.11,0.4,0.49,0.61,0.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,18.67,-12.08,-32.85,-72.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25.16,5.92,0.59,5.22,636265,28677.07,0.75,-0.74,1.5,0,-0.74,3,-1
20060803,13.6,13.43,13.48,14.09,15.23,12.97,11.4,0.01,-0.58,-0.57,-0.19,0.91,54.08,49.05,48.45,50.35,52.79,45.76,33.66,28.35,55.89,48.01,35.75,29.19,23.14,13.52,12.08,11.07,0.37,0.49,0.59,0.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,171.11,66.08,-19.9,-61.82,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38.69,12.76,2.48,6.13,638813,28695.94,0.74,0.74,1.87,0.74,-2.16,4,-1
20060804,13.95,13.48,13.5,14.05,15.22,12.98,11.42,0.05,-0.53,-0.48,-0.19,0.9,61.72,52.32,49.33,50.78,56.51,50.05,35.45,29.5,63.94,58.62,39.03,31.78,25.72,13.79,11.95,11.04,0.41,0.51,0.59,0.69,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,1,196.64,131.78,-6.18,-51.14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48.95,18.95,4.33,7.03,644972,28854.45,2.57,4.1,2.57,3.72,2.57,5,1
20060807,13.6,13.51,13.5,13.99,15.2,13,11.43,0.05,-0.5,-0.46,-0.19,0.88,52.09,49.01,48.49,50.34,54.39,51.68,36.29,29.96,50.15,54.95,37.97,30.89,27.66,13.99,11.82,11,0.38,0.51,0.59,0.69,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,1,69.09,55.71,-16.78,-59.95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,45.09,17.7,4.04,6.88,644156,28833.97,-2.51,0.74,0.74,2.26,0,1,1
20060808,13.75,13.56,13.5,13.94,15.19,13.02,11.45,0.06,-0.47,-0.41,-0.19,0.87,55.4,50.43,48.87,50.53,52.95,53.44,37.06,30.44,50.08,56.96,38.6,31.38,29.4,14.17,11.69,10.97,0.37,0.5,0.58,0.68,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,1,72.16,68.37,-11.97,-57.06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,45.09,17.7,4.04,6.88,645125,28844.66,1.1,1.1,2.61,3.38,1.1,2,-1
20060809,14.05,13.63,13.48,13.9,15.17,13.03,11.46,0.09,-0.42,-0.33,-0.19,0.86,61.35,53.16,49.62,50.9,56.53,57.84,38.45,31.46,63.67,66.64,41.22,33.5,32.2,14.74,11.6,10.94,0.41,0.48,0.58,0.68,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,1,130.16,148.18,3.59,-47.22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,57.35,25.54,6.44,8.05,649713,28944.76,2.18,0.72,4.07,5.64,-3.44,3,-1
20060810,14,13.69,13.49,13.85,15.15,13.05,11.48,0.11,-0.39,-0.27,-0.18,0.86,59.87,52.65,49.5,50.83,59.96,63.39,39.68,32.39,66.84,74.5,42.15,34.25,34.71,15.28,11.52,10.92,0.41,0.45,0.58,0.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,123.55,156.05,9.49,-44.53,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,57.35,25.54,6.44,8.05,647683,28937.54,-0.36,2.94,2.94,4.87,2.56,4,1
20060811,13.9,13.73,13.52,13.81,15.13,13.06,11.49,0.12,-0.36,-0.24,-0.18,0.85,56.83,51.61,49.25,50.71,61.12,67.42,40.4,32.93,63.42,75.48,41.84,34,35.65,15.58,11.42,10.89,0.41,0.45,0.58,0.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,1,77.21,119.45,8.55,-46.41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,44.11,21.27,5.53,7.59,645250,28920.16,-0.71,1.09,-0.36,2.21,3.73,5,-1
20060814,13.9,13.76,13.58,13.75,15.12,13.08,11.51,0.12,-0.33,-0.21,-0.18,0.84,56.83,51.61,49.25,50.71,61.31,69.75,40.83,33.24,61.71,74.41,41.69,33.88,36.5,15.87,11.32,10.86,0.38,0.42,0.57,0.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,1,56.97,103.29,11.84,-46.36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,44.11,21.27,5.53,7.59,645250,28920.16,0,-1.07,2.21,2.96,9.88,1,-1
20060815,14.2,13.84,13.63,13.7,15.12,13.1,11.52,0.14,-0.28,-0.15,-0.18,0.83,63.67,54.6,50.03,51.08,64.2,72.7,42.37,34.06,69.99,78.58,45.44,35.69,38.35,16.46,11.26,10.84,0.42,0.42,0.57,0.66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,1,126.59,151.18,35.14,-36.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,55.02,27.64,7.44,8.51,649386,29009.43,2.16,1.43,3.27,5.97,7.58,2,-1
20060816,14.5,13.94,13.68,13.67,15.13,13.12,11.54,0.18,-0.23,-0.05,-0.16,0.83,69.1,57.37,50.8,51.46,71.13,78.23,44.83,35.53,84.99,89.29,49.77,38.47,40.15,17.06,11.2,10.82,0.42,0.41,0.56,0.66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,1,189.86,175.16,56.22,-29.02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56.37,28.51,7.71,8.64,653372,29093.64,2.11,4.32,3.2,7.41,7.41,3,1
20060817,14.2,14,13.72,13.62,15.13,13.15,11.56,0.18,-0.19,-0.01,-0.16,0.82,59.25,53.91,50.01,51.06,70.28,78.31,46.52,36.35,68.58,78.47,49.88,37.98,42.4,17.84,11.16,10.81,0.43,0.4,0.57,0.66,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,1,123.24,138.29,59.26,-31.16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,62.61,32.76,9.06,9.29,649800,29019.73,-2.07,2.16,1.43,4.41,5.19,4,1
20060818,14,14.01,13.75,13.58,15.13,13.16,11.58,0.16,-0.18,-0.01,-0.16,0.81,53.59,51.72,49.5,50.8,64.08,74.6,47.51,36.4,51.68,67.18,49.5,36.49,43,18.35,11.11,10.8,0.39,0.4,0.56,0.65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,1,16.03,69.92,43.19,-41.54,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48.45,27.95,8.09,8.82,648389,28999.86,-1.41,-1.41,0.72,0.36,4.09,5,1
20060821,13.05,13.96,13.73,13.52,15.11,13.18,11.59,0.06,-0.22,-0.16,-0.17,0.79,35.63,42.98,47.14,49.58,51.34,60.93,45.8,34.2,25.84,33.59,42.37,29.81,39.5,17.59,10.96,10.75,0.46,0.42,0.56,0.65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,-205.46,-88.35,-15.98,-67.77,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.94,3.08,2.26,5.91,646137,28847.05,-6.79,-10,-6.12,-4.04,-1.88,1,-1
20060822,13.5,13.93,13.74,13.48,15.11,13.2,11.6,0.03,-0.23,-0.2,-0.18,0.78,45.28,47.41,48.33,50.15,45.03,52.72,44.9,32.56,32.43,36.31,43.09,29.28,37.58,16.91,10.78,10.71,0.51,0.44,0.57,0.65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,1,-186.87,-121.06,-28.69,-73.09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20.33,4.14,0.23,4.87,647304,28887.29,3.45,-4.93,-4.93,-1.82,1.5,2,-1
20060823,13.25,13.85,13.74,13.43,15.1,13.22,11.62,-0.02,-0.26,-0.28,-0.18,0.77,41.44,45.35,47.72,49.83,39.9,45.67,43.62,30.86,29.63,31.57,41.07,27.45,35.85,16.27,10.61,10.66,0.5,0.45,0.57,0.65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,-119.29,-115.04,-23.45,-71.79,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20.33,4.14,0.23,4.87,645945,28862.12,-1.85,-5.36,-8.62,-5.69,-0.38,3,-1
20060824,13.1,13.76,13.73,13.38,15.09,13.24,11.63,-0.07,-0.29,-0.35,-0.2,0.75,39.23,44.14,47.36,49.64,34.79,38.96,41.96,29.11,24.57,25.54,38.63,25.6,34.3,15.67,10.43,10.61,0.52,0.46,0.57,0.65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,-96.08,-125.17,-26.69,-73.66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20.33,4.14,0.23,4.87,645179,28853.45,-1.13,0.38,-7.75,-6.43,-1.87,4,-1
20060825,13.2,13.69,13.71,13.33,15.08,13.25,11.64,-0.09,-0.3,-0.4,-0.2,0.74,41.54,45.17,47.63,49.77,31.35,34.29,41.08,27.84,24.48,24.97,39.31,25.3,32.59,15.03,10.27,10.56,0.51,0.46,0.57,0.65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,-66.67,-100,-12.57,-70.02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,17.24,2.94,0.53,5.01,647675,28872.5,0.76,-2.22,-5.71,-5.04,-2.94,5,-1
20060828,12.65,13.57,13.66,13.3,15.06,13.27,11.65,-0.16,-0.35,-0.51,-0.22,0.72,33.7,40.82,46.31,49.08,25.74,27.78,40.74,25.8,14.51,14.76,40.08,21.71,33.04,15,10.14,10.5,0.56,0.47,0.56,0.65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,-103.63,-164.16,-63.89,-85.65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,37.02,14.39,2.7,3.36,644470,28738.96,-4.17,-4.53,-3.07,-8.99,-6.3,1,-1
20060829,12.3,13.38,13.61,13.27,15.04,13.28,11.67,-0.24,-0.42,-0.65,-0.24,0.7,29.73,38.35,45.49,48.64,20.54,21.94,39.01,23.11,10.14,10.26,35.53,17.73,34.45,15.32,10.06,10.43,0.56,0.49,0.55,0.65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,1,-146.24,-207.98,-122,-102.75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,47.21,21.48,4.96,2.18,642272,28678.15,-2.77,-6.11,-8.89,-13.38,-8.21,2,-1
20060830,12.75,13.2,13.57,13.26,15.02,13.3,11.68,-0.25,-0.44,-0.69,-0.26,0.68,39.85,43.02,46.72,49.23,19.23,20.18,39.2,21.59,16.61,16.67,39.6,18.55,33.73,15.2,9.94,10.37,0.58,0.5,0.55,0.65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,-100.1,-136.99,-79.74,-89.37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,27.19,12.87,2.84,3.15,644253,28750.62,3.66,-3.41,-3.77,-12.07,-5.56,3,-1
20060831,13.6,13.14,13.57,13.28,15,13.32,11.7,-0.18,-0.41,-0.59,-0.25,0.68,53.81,50.48,48.93,50.31,26.83,25.53,44,22.49,42.03,36.22,53.6,24.28,30.9,14.62,9.8,10.33,0.6,0.52,0.55,0.65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,1,38.4,-33.32,6.5,-61.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5.45,3.57,1.79,5.32,649291,29086.49,6.67,7.51,3.82,-4.23,0,4,1
20060901,13.9,13.13,13.57,13.3,14.99,13.34,11.71,-0.1,-0.37,-0.47,-0.25,0.67,57.67,52.78,49.68,50.68,39.85,34.27,50.95,24.66,65.88,51.76,64.83,29.01,29.27,14.33,9.69,10.29,0.62,0.51,0.53,0.65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,1,127.89,20.11,52.64,-47.08,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14.59,8.81,3.44,6.12,658439,29288.28,2.21,13.01,5.3,-0.71,-0.36,5,1
20060904,14.85,13.31,13.63,13.34,14.98,13.37,11.73,0.04,-0.26,-0.22,-0.23,0.67,67.27,59.1,51.95,51.83,54.21,48.14,61.43,28.88,82.94,75.88,82.41,37.32,29.97,14.75,9.67,10.28,0.61,0.54,0.54,0.65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,1,217.86,115.45,150.32,-17.75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,36.26,22.8,8.41,8.57,671394,30173.7,6.83,16.47,17.39,13.79,9.19,1,1
20060905,14.9,13.45,13.69,13.39,14.97,13.39,11.75,0.15,-0.17,-0.02,-0.21,0.67,67.7,59.4,52.07,51.89,64.52,59.29,69.73,33.18,85.12,81.59,86.33,41.78,31.35,15.43,9.69,10.28,0.59,0.55,0.54,0.65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,1,173.25,149.41,201.7,-1.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,43.77,28.29,10.63,9.7,678249,30196.78,0.34,9.56,21.14,10.37,8.36,2,1
20060906,14.2,13.55,13.7,13.42,14.96,13.42,11.77,0.17,-0.13,0.04,-0.2,0.67,56.24,53.59,50.34,51,68.04,63.97,73.07,35.34,75.1,73.34,79.75,39.64,30.3,15.45,9.64,10.25,0.62,0.56,0.54,0.65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,1,82.17,77.39,124.35,-22.02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,20.91,15.78,6.83,7.77,675148,30051.09,-4.7,2.16,11.37,7.17,1.07,3,1
20060907,14.3,13.67,13.71,13.45,14.94,13.45,11.79,0.19,-0.09,0.1,-0.19,0.66,57.39,54.26,50.58,51.12,69.26,66.25,74.61,36.62,71.68,70.79,77.68,39.2,29.2,15.42,9.59,10.23,0.61,0.56,0.54,0.64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,1,55.19,58.6,102.57,-26.99,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19.29,14.87,6.54,7.62,678711,30076.19,0.7,-3.7,5.15,9.16,2.14,4,-1
20060908,15.3,13.88,13.78,13.5,14.93,13.47,11.81,0.29,0.01,0.29,-0.16,0.67,66.99,60.32,52.88,52.31,74.78,72.63,79.35,39.49,85.84,85.4,88.84,45.22,29.92,15.94,9.61,10.23,0.68,0.6,0.55,0.65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,90.86,118.12,182.7,-2.15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,36.35,25.88,10.91,9.86,691015,30936.61,6.99,2.68,10.07,15.91,10.07,5,-1
20060911,15.3,14.14,13.85,13.55,14.93,13.5,11.83,0.35,0.09,0.44,-0.13,0.67,66.99,60.32,52.88,52.31,78.95,77.44,82.89,42.4,87.29,87.06,89.98,48.24,31.16,16.65,9.66,10.23,0.68,0.62,0.55,0.65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,105.4,141.82,230.59,14.83,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42.37,30.1,12.75,10.82,691015,30936.61,0,7.75,3.03,20.95,10.07,1,1
20060912,14.85,14.4,13.89,13.6,14.92,13.53,11.85,0.36,0.14,0.49,-0.12,0.67,59.54,56.58,51.76,51.73,79.68,78.81,83.78,43.91,81.14,81.56,85.54,46.93,31.41,17.09,9.69,10.23,0.68,0.62,0.55,0.64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,1,70.35,100.15,180.62,2.13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,33.6,25.4,11.29,10.08,687009,30818.78,-2.94,3.85,-0.34,20.73,4.58,2,1
20060913,14.6,14.58,13.89,13.65,14.91,13.55,11.86,0.33,0.16,0.49,-0.11,0.67,55.71,54.6,51.15,51.42,76.88,77.64,82.46,44.18,71.27,75.29,79.83,44.72,30.61,17.23,9.69,10.22,0.7,0.64,0.55,0.65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,1,36.68,77.5,149.77,-5.71,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,23.46,19.92,9.56,9.19,683963,30767.5,-1.68,-4.58,2.82,14.51,0.69,3,-1
20060914,14.05,14.63,13.88,13.69,14.9,13.57,11.88,0.26,0.15,0.41,-0.1,0.67,48.15,50.51,49.83,50.73,67.84,73.23,78.16,42.84,49.77,64.4,69.54,40.17,27.81,16.6,9.6,10.19,0.73,0.67,0.55,0.65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,1,-77.18,23.14,62.17,-29.47,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.57,4.68,4.32,6.45,680715,30645.15,-3.77,-8.17,-1.75,3.31,-1.06,4,-1
20060915,14.1,14.65,13.89,13.72,14.88,13.6,11.9,0.21,0.14,0.35,-0.1,0.66,48.85,50.86,49.95,50.79,57.49,68.71,73.06,41.3,36.79,59.67,62.85,38.21,25.28,16,9.51,10.16,0.72,0.67,0.55,0.65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,1,-109.72,13.36,43.41,-33.31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.57,4.68,4.32,6.45,683168,30653.88,0.36,-5.05,-7.84,1.44,0.71,5,-1
20060918,14.9,14.65,13.98,13.76,14.87,13.62,11.92,0.23,0.18,0.42,-0.09,0.66,58.77,56.12,51.81,51.74,54.78,68.66,72.09,41.61,49.35,68.57,70.16,42.23,24.34,15.94,9.49,10.15,0.72,0.67,0.56,0.66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,1,17.81,70.08,143.47,-5.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,15.87,14.79,8.14,8.42,685973,30813.02,5.67,2.05,-2.61,0.34,14.18,1,-1
20060919,14.95,14.65,14.05,13.78,14.86,13.64,11.94,0.25,0.22,0.47,-0.07,0.66,59.31,56.43,51.93,51.8,55.46,70.35,72.9,42.59,56.82,73.72,74.52,44.55,23.7,15.94,9.47,10.14,0.71,0.65,0.55,0.65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,44.28,74.82,154.03,0.06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,17.92,15.96,8.61,8.66,688325,30820.92,0.34,6.41,0.67,0.34,10.74,2,1
20060920,14.9,14.73,14.14,13.8,14.84,13.67,11.96,0.26,0.25,0.51,-0.05,0.66,58.45,56.02,51.8,51.74,56.76,72.1,73.93,43.53,59.36,75.59,75.99,45.4,23.12,15.95,9.46,10.12,0.66,0.64,0.55,0.64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,1,40.16,70.14,147.49,1.52,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,17.92,15.96,8.61,8.66,686175,30813.73,-0.33,5.67,2.05,4.93,12.45,3,1
20060921,15.25,14.82,14.24,13.84,14.81,13.69,11.98,0.29,0.3,0.59,-0.03,0.67,62.67,58.27,52.61,52.16,60.83,75.22,76.51,45.02,68.97,81.46,81.66,48.01,23.28,16.13,9.47,10.12,0.68,0.64,0.54,0.64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,1,91.76,89.29,176.25,14.27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24.71,19.63,10.02,9.39,691326,30934.72,2.35,2.35,8.54,6.64,16.41,4,1
20060922,15.65,14.86,14.37,13.87,14.8,13.72,12,0.34,0.36,0.71,-0.01,0.67,66.94,60.68,53.52,52.63,66.9,79.28,80.17,47.29,79.05,87.4,87.5,51.82,24.42,16.59,9.52,10.12,0.63,0.66,0.55,0.64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,1,137.25,113.86,209.99,30.39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,34.72,25.36,12.31,10.6,696751,31077.02,2.62,4.68,10.99,2.29,18.56,5,1
20060925,15.25,14.85,14.5,13.89,14.77,13.74,12.02,0.34,0.4,0.74,0.01,0.68,59.4,57.2,52.5,52.11,69.73,81.19,81.81,48.6,75.39,85.03,85.08,51.22,24.88,16.89,9.55,10.12,0.63,0.65,0.55,0.64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,1,92.98,88.12,170.46,22.39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29,22.6,11.45,10.15,693614,30996.84,-2.56,2.35,2.35,-0.33,20.55,1,1
